# Swift-BAT daily average light curve for GX 3+1                        
# Generated Sun Jul 15 08:50:44 UTC 2018
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53415       0.00999345     0.00220717   2005          45     0.00177177     0.00034977      0    1088.00000000  1105.00000000     0.00000000
      53416       0.00430772     0.00079771   2005          46     0.00063685     0.00015077      0   21824.00000000 10492.34375000    64.00000000
      53417       0.00454183     0.00045991   2005          47     0.00035086     0.00015896      0   31928.00000000 26083.40136647     0.00000000
      53418       0.00428772     0.00058048   2005          48     0.00045589     0.00015007      0   14768.00000000 14998.75000000    72.00000000
      53419       0.00435835     0.00065517   2005          49     0.00051802     0.00015254      0   16168.00000000 12134.29687500     0.00000000
      53420       0.00085353     0.00129353   2005          50     0.00105137     0.00002987      0    4240.00000000  3235.12500000     0.00000000
      53421       0.00466382     0.00136656   2005          51     0.00110307     0.00016323      0    4000.00000000  3179.50000000     0.00000000
      53422       0.00293877     0.00137133   2005          52     0.00111176     0.00010286      0    3800.00000000  3067.50000000     0.00000000
      53423       0.00370717     0.00137636   2005          53     0.00111401     0.00012975      0    2872.00000000  2752.75000000     0.00000000
      53424       0.00342741     0.00071303   2005          54     0.00057144     0.00011996      0   14112.00000000 10584.00000000  2296.00000000
      53430       0.00089848     0.00094079   2005          60     0.00076445     0.00003145      0    6224.00000000  5388.87500000     0.00000000
      53432       0.00958918     0.00208527   2005          62     0.00167324     0.00033562      0    6344.00000000  1833.81250000     0.00000000
      53434       0.00953566     0.00267082   2005          64     0.00215437     0.00033375      0    1448.00000000   893.68750000  1448.00000000
      53435       0.00432519     0.00108420   2005          65     0.00087283     0.00015138      0    5496.00000000  4496.56250000  2488.00000000
      53436       0.00012317     0.00059095   2005          66     0.00048043     0.00000431      0   25640.00000000 14301.93750000  9000.00000000
      53437      -0.00099914     0.00100991   2005          67     0.00082058    -0.00003497      0    6208.00000000  4783.50000000     0.00000000
      53439       0.00373666     0.00068817   2005          69     0.00054929     0.00013078      0   14104.00000000 10800.37500000   184.00000000
      53440       0.00516948     0.01202378   2005          70     0.00977432     0.00018093      3      64.00000000    45.50000000    64.00000000
      53441       0.00282164     0.00124130   2005          71     0.00100599     0.00009876      0   10008.00000000  4235.53125000  1568.00000000
      53442       0.00621080     0.00144315   2005          72     0.00115991     0.00021738      0   10960.00000000  3830.59375000   632.00000000
      53443       0.00593299     0.00155238   2005          73     0.00125075     0.00020765      0   10480.00000000  3403.93750000     0.00000000
      53444       0.00640286     0.00177960   2005          74     0.00143531     0.00022410      0    3128.00000000  1536.93750000   976.00000000
      53445       0.00331924     0.00075983   2005          75     0.00061049     0.00011617      0   28888.00000000  8457.37460852    64.00000000
      53446       0.00233673     0.00105277   2005          76     0.00085333     0.00008179      0   16648.00000000  4701.67187500     0.00000000
      53447       0.00467522     0.00084225   2005          77     0.00067171     0.00016363      0   28096.00000000  9581.07810092     0.00000000
      53448       0.00230212     0.00101779   2005          78     0.00082487     0.00008057      0   19264.00000000  6724.38676500  2176.00000000
      53449       0.00354357     0.00133385   2005          79     0.00107973     0.00012402      0   13288.00000000  5524.75198841  1536.00000000
      53450       0.00178173     0.00106369   2005          80     0.00086330     0.00006236      0   23344.00000000  7095.58397317     0.00000000
      53452       0.00434542     0.00090394   2005          82     0.00072443     0.00015209      0    8920.00000000  7985.75000000     0.00000000
      53453       0.00318680     0.00114535   2005          83     0.00092675     0.00011154      0   21832.00000000  5659.75000000     0.00000000
      53454       0.00356944     0.00111730   2005          84     0.00090268     0.00012493      0    6104.00000000  4916.75000000    64.00000000
      53455       0.00466351     0.00189211   2005          85     0.00153256     0.00016322      0    9288.00000000  2075.13673127     0.00000000
      53456       0.00166900     0.00133294   2005          86     0.00108265     0.00005841      0    3288.00000000  3281.00000000     0.00000000
      53457       0.00627034     0.00374112   2005          87     0.00303633     0.00021946      0     448.00000000   322.00000000     0.00000000
      53458       0.00564590     0.00144259   2005          88     0.00116178     0.00019761      0    2256.00000000  2291.25000000     0.00000000
      53460       0.00027317     0.00351823   2005          90     0.00286034     0.00000956      0    1792.00000000   525.00000000     0.00000000
